id,name,latitude,longitude,description
1100000,5.722969055175781_79.5214614868164,5.72296905517578,79.5214614868164,"WRF point"
1100001,5.722969055175781_79.54869079589844,5.72296905517578,79.5486907958984,"WRF point"
1100002,5.722969055175781_79.57592010498047,5.72296905517578,79.5759201049805,"WRF point"
1100003,5.722969055175781_79.6031494140625,5.72296905517578,79.6031494140625,"WRF point"
1100004,5.722969055175781_79.63037872314453,5.72296905517578,79.6303787231445,"WRF point"
1100005,5.722969055175781_79.65760803222656,5.72296905517578,79.6576080322266,"WRF point"
1100006,5.722969055175781_79.6848373413086,5.72296905517578,79.6848373413086,"WRF point"
1100007,5.722969055175781_79.71206665039062,5.72296905517578,79.7120666503906,"WRF point"
1100008,5.722969055175781_79.73929595947266,5.72296905517578,79.7392959594727,"WRF point"
1100009,5.722969055175781_79.76652526855469,5.72296905517578,79.7665252685547,"WRF point"
1100010,5.722969055175781_79.79374694824219,5.72296905517578,79.7937469482422,"WRF point"
1100011,5.722969055175781_79.82097625732422,5.72296905517578,79.8209762573242,"WRF point"
1100012,5.722969055175781_79.84820556640625,5.72296905517578,79.8482055664062,"WRF point"
1100013,5.722969055175781_79.87543487548828,5.72296905517578,79.8754348754883,"WRF point"
1100014,5.722969055175781_79.90266418457031,5.72296905517578,79.9026641845703,"WRF point"
1100015,5.722969055175781_79.92989349365234,5.72296905517578,79.9298934936523,"WRF point"
1100016,5.722969055175781_79.95712280273438,5.72296905517578,79.9571228027344,"WRF point"
1100017,5.722969055175781_79.9843521118164,5.72296905517578,79.9843521118164,"WRF point"
1100018,5.722969055175781_80.01158142089844,5.72296905517578,80.0115814208984,"WRF point"
1100019,5.722969055175781_80.03881072998047,5.72296905517578,80.0388107299805,"WRF point"
1100020,5.722969055175781_80.0660400390625,5.72296905517578,80.0660400390625,"WRF point"
1100021,5.722969055175781_80.09326934814453,5.72296905517578,80.0932693481445,"WRF point"
1100022,5.722969055175781_80.12049865722656,5.72296905517578,80.1204986572266,"WRF point"
1100023,5.722969055175781_80.1477279663086,5.72296905517578,80.1477279663086,"WRF point"
1100024,5.722969055175781_80.17495727539062,5.72296905517578,80.1749572753906,"WRF point"
1100025,5.722969055175781_80.20218658447266,5.72296905517578,80.2021865844727,"WRF point"
1100026,5.722969055175781_80.22941589355469,5.72296905517578,80.2294158935547,"WRF point"
1100027,5.722969055175781_80.25664520263672,5.72296905517578,80.2566452026367,"WRF point"
1100028,5.722969055175781_80.28387451171875,5.72296905517578,80.2838745117188,"WRF point"
1100029,5.722969055175781_80.31110382080078,5.72296905517578,80.3111038208008,"WRF point"
1100030,5.722969055175781_80.33833312988281,5.72296905517578,80.3383331298828,"WRF point"
1100031,5.722969055175781_80.36556243896484,5.72296905517578,80.3655624389648,"WRF point"
1100032,5.722969055175781_80.39279174804688,5.72296905517578,80.3927917480469,"WRF point"
1100033,5.722969055175781_80.4200210571289,5.72296905517578,80.4200210571289,"WRF point"
1100034,5.722969055175781_80.44725036621094,5.72296905517578,80.4472503662109,"WRF point"
1100035,5.722969055175781_80.47447967529297,5.72296905517578,80.474479675293,"WRF point"
1100036,5.722969055175781_80.501708984375,5.72296905517578,80.501708984375,"WRF point"
1100037,5.722969055175781_80.52893829345703,5.72296905517578,80.528938293457,"WRF point"
1100038,5.722969055175781_80.55616760253906,5.72296905517578,80.5561676025391,"WRF point"
1100039,5.722969055175781_80.5833969116211,5.72296905517578,80.5833969116211,"WRF point"
1100040,5.722969055175781_80.61062622070312,5.72296905517578,80.6106262207031,"WRF point"
1100041,5.722969055175781_80.63785552978516,5.72296905517578,80.6378555297852,"WRF point"
1100042,5.722969055175781_80.66508483886719,5.72296905517578,80.6650848388672,"WRF point"
1100043,5.722969055175781_80.69231414794922,5.72296905517578,80.6923141479492,"WRF point"
1100044,5.722969055175781_80.71954345703125,5.72296905517578,80.7195434570312,"WRF point"
1100045,5.722969055175781_80.74677276611328,5.72296905517578,80.7467727661133,"WRF point"
1100046,5.722969055175781_80.77400207519531,5.72296905517578,80.7740020751953,"WRF point"
1100047,5.722969055175781_80.80123138427734,5.72296905517578,80.8012313842773,"WRF point"
1100048,5.722969055175781_80.82846069335938,5.72296905517578,80.8284606933594,"WRF point"
1100049,5.722969055175781_80.8556900024414,5.72296905517578,80.8556900024414,"WRF point"
1100050,5.722969055175781_80.88291931152344,5.72296905517578,80.8829193115234,"WRF point"
1100051,5.722969055175781_80.91014862060547,5.72296905517578,80.9101486206055,"WRF point"
1100052,5.722969055175781_80.9373779296875,5.72296905517578,80.9373779296875,"WRF point"
1100053,5.722969055175781_80.96460723876953,5.72296905517578,80.9646072387695,"WRF point"
1100054,5.722969055175781_80.99183654785156,5.72296905517578,80.9918365478516,"WRF point"
1100055,5.722969055175781_81.0190658569336,5.72296905517578,81.0190658569336,"WRF point"
1100056,5.722969055175781_81.04629516601562,5.72296905517578,81.0462951660156,"WRF point"
1100057,5.722969055175781_81.07352447509766,5.72296905517578,81.0735244750977,"WRF point"
1100058,5.722969055175781_81.10075378417969,5.72296905517578,81.1007537841797,"WRF point"
1100059,5.722969055175781_81.12798309326172,5.72296905517578,81.1279830932617,"WRF point"
1100060,5.722969055175781_81.15521240234375,5.72296905517578,81.1552124023438,"WRF point"
1100061,5.722969055175781_81.18244171142578,5.72296905517578,81.1824417114258,"WRF point"
1100062,5.722969055175781_81.20967102050781,5.72296905517578,81.2096710205078,"WRF point"
1100063,5.722969055175781_81.23690032958984,5.72296905517578,81.2369003295898,"WRF point"
