flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist,ob_4_id,ob_4_dist,ob_5_id,ob_5_dist,ob_6_id,ob_6_dist,ob_7_id,ob_7_dist,ob_8_id,ob_8_dist,ob_9_id,ob_9_dist,ob_10_id,ob_10_dist
6704,100057,13.150923137100023,100056,14.882982050375468,100043,16.147279465811895,100042,16.80430246744117,100038,18.238113863506126,100064,22.316871979917355,100039,31.297597775626436,100063,35.79189373226948,100037,42.32453648931432,100041,73.69933455381992
6705,100057,13.305655124405996,100056,14.998514322519254,100043,16.300253073793634,100042,17.021151005285507,100038,18.319233628533983,100064,22.486415109666076,100039,31.14279168328126,100063,35.72733118748017,100037,42.385320123856864,100041,73.57314780483006
6706,100042,9.371049946514491,100057,14.366821554890626,100043,15.319524984939008,100064,17.02290663434844,100056,17.363883704659266,100038,21.190232406482448,100037,41.48920504333481,100063,43.57321946204177,100039,44.23037591798045,100041,83.72768463507587
6707,100042,9.279715092945384,100057,14.192228486140207,100043,15.182803027853737,100064,16.975293364225678,100056,17.19924488922703,100038,21.041856647135603,100037,41.45553124092223,100063,43.42719817401861,100039,44.02673530968119,100041,83.57211373259426
6708,100042,9.204938300130246,100057,14.028392733487928,100043,15.05868174566922,100064,16.94223847520412,100056,17.045500098771182,100038,20.904736891468993,100037,41.41247476229804,100063,43.27339885883253,100039,43.81746423265329,100041,83.40861833436452
6709,100042,9.136463750706136,100057,13.867175623393692,100043,14.937757120967552,100056,16.89409441810493,100064,16.912853335069183,100038,20.76975256046352,100037,41.3708999613478,100063,43.12051552384134,100039,43.608637044196904,100041,83.24556042764932
6710,100042,9.074434112524399,100057,13.7086695434318,100043,14.820107402510006,100056,16.74509129609337,100064,16.88715710084437,100038,20.636945557880527,100037,41.330811309062454,100063,42.968557946476274,100039,43.400260151712274,100041,83.08294258820884
6711,100042,9.018982364501271,100057,13.552969612970442,100043,14.705811190841356,100056,16.59855543610449,100064,16.865166633520786,100038,20.50635818718478,100037,41.292213133982756,100063,42.81753598292171,100039,43.192340072194064,100041,82.9207674052482
6712,100042,8.97023049555076,100057,13.400173648490881,100043,14.594947271812341,100056,16.454552754299502,100064,16.846896444891332,100038,20.378033119368272,100037,41.25510961983646,100063,42.66745956800136,100039,42.98488343472415,100041,82.75903748097586
6713,100042,8.928288259492513,100057,13.250382110846274,100043,14.487594441550291,100056,16.31315033443443,100064,16.83235864940088,100038,20.252013359803573,100037,41.21950480236151,100063,42.51833871437693,100039,42.777896981639806,100041,82.59775543086418
6714,100042,8.893252002774533,100057,13.103698033535357,100043,14.383831313852408,100056,16.174416374192568,100064,16.821562923764063,100038,20.128342208089474,100037,41.18540256892357,100063,42.37018351104221,100039,42.57138757150645,100041,82.43692388380187
6715,100042,8.865203604266297,100057,12.960226928671554,100043,14.283736121089824,100056,16.0384201219676,100064,16.81451647626633,100038,20.0070632169537,100037,41.15280665481414,100063,42.22300412333605,100039,42.365362180232836,100041,82.27654548142463
6716,100042,8.84413241227596,100057,12.819464073370828,100043,14.186968608962053,100056,15.904648818060469,100064,16.81121779877397,100038,19.887699772391482,100037,41.12158645364312,100063,42.07616612427017,100039,42.1589195617887,100041,82.1159162736965
6717,100042,8.830274539241435,100057,12.682760167620565,100043,14.094458448619811,100056,15.774352452216633,100064,16.811698162497496,100038,19.77134762267944,100037,41.092020472180685,100063,41.9309735923932,100039,41.953885838775584,100041,81.9564541738763
6718,100042,8.823554985783856,100057,12.549599819133135,100043,14.00584675602657,100056,15.647007391092677,100064,16.815934407011408,100038,19.657519552976503,100037,41.06397110259428,100039,41.74935782325108,100063,41.78678786174156,100041,81.79745323534387
6719,100042,8.823990058583874,100057,12.420097001680983,100043,13.921207974528075,100056,15.522686269264854,100064,16.82392369380395,100038,19.546259661181043,100037,41.03744145435442,100039,41.54534298348291,100063,41.6436193899625,100041,81.63891615261699
6720,100042,8.831578702301535,100057,12.294367298433416,100043,13.84061499083442,100056,15.401462315608422,100064,16.835660680991232,100038,19.43761204752335,100037,41.01243447681885,100039,41.341848917105565,100063,41.50147870460762,100041,81.48084563307299
6721,100042,8.846302506766536,100057,12.172527625451218,100043,13.76413887325214,100056,15.28340922815774,100064,16.851137537392564,100038,19.33162075624249,100037,40.988952956850255,100039,41.13888335216818,100063,41.36037640250264,100041,81.32324439763953
6722,100042,8.868125930893598,100057,12.054695936991942,100043,13.691848606370154,100056,15.168601040869923,100064,16.870343969898073,100038,19.22832971483587,100039,40.936454149715736,100037,40.96699951772363,100063,41.22032314697401,100041,81.16611517982581
6723,100042,8.896996732464064,100057,11.94099088229982,100043,13.623810822754077,100056,15.05711197965627,100064,16.89326725776125,100038,19.127782667433756,100039,40.73456930585348,100037,40.94657661701878,100063,41.081329667159316,100041,81.00946072624247
6724,100042,8.932846579778635,100057,11.831531438774261,100043,13.560089532985081,100056,14.94901630588335,100064,16.919892294093987,100038,19.030023108672655,100039,40.53323695460929,100037,40.927686545808214,100063,40.943406756149564,100041,80.85328379651233
6725,100042,8.975591847747678,100057,11.726436496218257,100043,13.500745857182562,100056,14.844388151926577,100064,16.950201635050107,100038,18.935094213305874,100039,40.33246536983241,100063,40.806565269260936,100037,40.910331427934565,100041,80.69758716301044
6726,100042,9.02513456122011,100057,11.625824419058361,100043,13.44583775663071,100056,14.743301340286575,100064,16.984175556060652,100038,18.843038762588755,100039,40.132262967665284,100063,40.670816122217936,100037,40.89451321706465,100041,80.54237361127058
6727,100042,9.081363472551265,100057,11.529812563213587,100043,13.39541977724222,100056,14.645829199271672,100064,17.02179211496974,100038,18.75389907046467,100039,39.932638308929725,100063,40.53617028924612,100037,40.88023369779893,100041,80.38764593955327
6728,100042,9.14415523858284,100057,11.438516768207895,100043,13.349542792649837,100056,14.552044365238878,100064,17.063027219760304,100038,18.66771690595365,100039,39.73360010130931,100063,40.40263880107286,100037,40.86749448268801,100041,80.23340695868757
6729,100042,9.213375677245075,100057,11.352050818188864,100043,13.308253764806963,100056,14.462018572803826,100064,17.107854705409235,100038,18.584533414088543,100039,39.53515720234477,100063,40.27023274272271,100037,40.856297012647964,100041,80.07965949264054
